TransactionID,Timestamp,TransactionType,TransactionAmount,AccountBalance,AccountID
36,1/3/2016 23:40,withdrawal,2595.78,94695.57,9507
37,1/4/2016 0:15,deposit,2842.24,39438.78,2448
38,1/4/2016 0:29,payment,3795.84,9988.74,4487
39,1/4/2016 0:48,transfer,4752.7,57807.28,9180
40,1/4/2016 3:13,payment,4281.48,48382.36,8513
41,1/4/2016 3:16,payment,3620.42,77118.49,9059
42,1/4/2016 5:28,payment,2525.81,90426.54,7576
43,1/4/2016 5:37,payment,3304.67,72513.78,4967
44,1/4/2016 6:57,withdrawal,3221.8,67555.87,6242
45,1/4/2016 7:46,payment,4300.39,74841.52,6095
46,1/4/2016 15:00,payment,4921.1,76140.82,9666
47,1/4/2016 18:16,withdrawal,3904.16,48456.64,9036
48,1/4/2016 19:09,deposit,1115.64,26314.16,9070
49,1/4/2016 19:11,payment,655.42,33211.95,2835
50,1/5/2016 0:56,transfer,1833.72,51443.21,3434
51,1/5/2016 1:49,withdrawal,1655.1,63445.27,4497
52,1/5/2016 11:05,withdrawal,3218.56,42323.98,5451
53,1/5/2016 11:21,deposit,2041.45,92858.98,6545
54,1/5/2016 11:41,withdrawal,3565.56,31396.59,6987
55,1/5/2016 13:36,withdrawal,4983.67,14627.98,4264
56,1/5/2016 13:36,transfer,3203.82,29869.91,8123
57,1/5/2016 15:50,withdrawal,1808.74,76800.74,5934
58,1/5/2016 15:58,deposit,294.77,29268.45,2380
59,1/5/2016 16:28,payment,3588.66,90488.95,9531
60,1/5/2016 18:35,transfer,4854.73,2410.25,8429
61,1/5/2016 20:41,deposit,2553.34,48760.95,6818
62,1/5/2016 21:13,withdrawal,3563.39,52779.14,3735
63,1/5/2016 23:23,deposit,4236.65,5183.02,7398
64,1/6/2016 0:26,deposit,4502.99,24567.54,7429
65,1/6/2016 0:45,withdrawal,1320.06,88942.68,7664
66,1/6/2016 2:42,withdrawal,4091.37,11670.28,7085
67,1/6/2016 2:51,withdrawal,3534.58,67091.06,4752
68,1/6/2016 4:37,transfer,1987.87,98704.67,7779
69,1/6/2016 4:51,deposit,1260.4,16683.53,7570
70,1/6/2016 7:04,deposit,3038.93,10173.43,7473
71,1/6/2016 11:36,payment,3001.49,16008.52,2269
72,1/6/2016 16:39,payment,3613.81,77373.59,9907
73,1/6/2016 17:39,withdrawal,3430.4,11593.97,3901
74,1/6/2016 18:54,withdrawal,2310.96,4932.99,1977
75,1/6/2016 19:13,payment,32.92,95782.54,6553
76,1/6/2016 21:20,deposit,2332.35,81934.69,2518
77,1/6/2016 23:36,deposit,563.38,49874.22,8871
78,1/6/2016 23:38,transfer,4719.84,32467.43,5647
79,1/7/2016 0:26,deposit,1794.81,38482.16,9986
80,1/7/2016 2:02,transfer,101271.4948,76362.71,7050
81,1/7/2016 2:49,deposit,4500.9,70827.46,4068
82,1/7/2016 3:10,deposit,1628.19,28373.86,1919
83,1/7/2016 3:33,withdrawal,4491.29,42074.77,1462
84,1/7/2016 4:30,withdrawal,799.77,19159.51,9114
85,1/7/2016 6:48,payment,72.89,42117.13,4892
86,1/7/2016 9:35,deposit,4339.29,69107.63,1486
87,1/7/2016 10:20,withdrawal,168.93,24930.94,6482
88,1/7/2016 14:57,deposit,4216.07,44629.97,5593
89,1/7/2016 14:59,deposit,4381.68,55009.21,4700
90,1/7/2016 15:55,withdrawal,49.32,98929.09,4757
91,1/7/2016 18:59,transfer,394.41,61967.06,5504
92,1/7/2016 19:20,payment,1409.85,73695.29,4627
93,1/7/2016 21:31,transfer,4576.53,16525.98,2462
94,1/7/2016 21:56,payment,705.48,74572.18,5010
95,1/7/2016 22:04,payment,2629.82,32498.03,2474
96,1/8/2016 1:00,payment,1939.74,92645.04,6536
97,1/8/2016 4:11,withdrawal,824.42,41656.9,7937
98,1/8/2016 5:57,withdrawal,4773.13,25673.52,7174
99,1/8/2016 7:36,withdrawal,71442.01646,45204.54,1371
100,1/8/2016 8:19,payment,1003.62,56974.16,5373
101,1/8/2016 9:31,transfer,2925.1,92322.2,4481
102,1/8/2016 11:47,transfer,2411.18,77203.39,2681
103,1/8/2016 13:14,deposit,3889.77,47805.79,6656
104,1/8/2016 14:00,deposit,360.4,21100.3,3913
105,1/8/2016 19:11,deposit,2665.26,29118.75,9937
106,1/8/2016 20:04,withdrawal,538.15,86498.39,9574
107,1/8/2016 20:18,withdrawal,2828.6,72829.35,3472
108,1/8/2016 22:26,withdrawal,4934.07,60930.21,2971
109,1/9/2016 0:17,withdrawal,2984.34,22048.21,7531
110,1/9/2016 0:24,transfer,198.71,81670.04,5627
111,1/9/2016 1:51,withdrawal,3585.04,1217.83,1400
112,1/9/2016 2:29,transfer,278.68,43727.32,3400
113,1/9/2016 4:57,deposit,484.01,72471.15,5480
114,1/9/2016 6:23,transfer,4903.72,3565.76,8563
115,1/9/2016 6:59,deposit,1161.44,84527.89,3898
116,1/9/2016 10:25,deposit,1221.07,47599.54,4798
117,1/9/2016 10:42,deposit,3465.75,73078.94,1374
118,1/9/2016 11:22,transfer,1114.97,29301.4,3847
119,1/9/2016 15:08,withdrawal,3159.99,89614.72,2389
120,1/9/2016 16:31,deposit,4272.97,2836.45,2039
121,1/9/2016 22:38,payment,1836.21,59748.59,2871
122,1/10/2016 1:17,deposit,2726.98,59071.67,1829
123,1/10/2016 1:58,deposit,4732.42,91412.44,5260
124,1/10/2016 6:23,deposit,1089.91,87655.38,9104
125,1/10/2016 6:24,withdrawal,3962.4,598.58,1361
126,1/10/2016 8:05,payment,1058.32,10857.39,8211
127,1/10/2016 9:14,payment,3460.03,96302.2,1702
128,1/10/2016 9:26,transfer,3239.95,18790.65,7125
129,1/10/2016 10:03,deposit,1087.92,40975.65,6148
130,1/10/2016 11:01,deposit,4032.92,67960.06,7910
131,1/10/2016 11:36,payment,1012.48,28227.74,6474
132,1/10/2016 12:06,withdrawal,2240.26,94674.32,2295
133,1/10/2016 13:44,deposit,3225.77,76288.28,4793
134,1/10/2016 16:09,transfer,3560.65,34593.86,2065
135,1/10/2016 16:56,payment,972.6,94370.5,6918
136,1/10/2016 21:11,transfer,4341.75,15338.02,8908
137,1/10/2016 21:25,transfer,4155.86,22054.71,1066
138,1/10/2016 23:05,payment,2133.53,35226.21,6287
139,1/11/2016 0:24,payment,2781.63,44605.88,7154
140,1/11/2016 1:03,deposit,1099.19,10511.7,3016
141,1/11/2016 1:41,transfer,472.12,90349.62,9475
142,1/11/2016 2:33,deposit,3109.13,76534.66,1464
143,1/11/2016 4:57,deposit,4901.63,19515.41,3881
144,1/11/2016 5:54,transfer,636.47,36757.44,8591
145,1/11/2016 6:17,deposit,593.61,75086.01,9821
146,1/11/2016 6:30,withdrawal,4718.14,23706.95,2140
147,1/11/2016 7:18,withdrawal,4184.78,8052.54,5871
148,1/11/2016 9:28,payment,3370.32,13934.38,9906
149,1/11/2016 11:06,transfer,1203.32,41328.48,5587
150,1/11/2016 13:40,deposit,3238.95,32337.36,2430
151,1/11/2016 19:11,deposit,4706.51,96177.17,6355
152,1/11/2016 20:38,transfer,4486.12,26366.76,9292
153,1/11/2016 20:43,payment,135.82,49658.77,5088
154,1/11/2016 23:04,deposit,264.82,85117.76,2809
155,1/12/2016 0:16,deposit,33.44,37469.26,8084
156,1/12/2016 3:20,payment,1328.65,95668.55,9827
157,1/12/2016 4:26,transfer,3511.59,59233.65,9673
158,1/12/2016 6:20,deposit,1295.18,16092.43,4519
159,1/12/2016 14:02,withdrawal,4194.48,81271.78,4149
160,1/12/2016 17:55,transfer,2784.5,7505.47,7169
161,1/12/2016 19:18,transfer,4256.38,61441.62,3410
162,1/12/2016 19:23,transfer,1444.86,22679.17,3618
163,1/12/2016 20:44,transfer,3926.55,50737.04,3512
164,1/13/2016 3:10,payment,4466.63,85596.2,5770
165,1/13/2016 3:26,payment,2080.98,49556.54,4043
166,1/13/2016 3:41,withdrawal,3727.81,16897.36,8986
167,1/13/2016 3:49,withdrawal,72.84,26089.28,1266
168,1/13/2016 8:30,transfer,2028.16,10772.14,9094
169,1/13/2016 8:36,transfer,849.62,47350.27,6401
170,1/13/2016 14:49,deposit,3884.59,74155.52,4869
171,1/13/2016 15:15,payment,4711.78,92390.86,3593
172,1/13/2016 15:16,payment,1583.67,81605.92,7909
173,1/13/2016 17:29,withdrawal,1635.38,92949.42,8194
174,1/13/2016 19:30,transfer,4083.21,78199.26,2040
175,1/13/2016 21:48,payment,1778.47,60136.19,2738
176,1/13/2016 23:57,transfer,1459.82,32144.5,7200
177,1/14/2016 2:15,withdrawal,1151.69,40721.73,9334
178,1/14/2016 4:46,withdrawal,2249.18,61638.45,4150
179,1/14/2016 5:14,deposit,3308.67,76503.7,6449
180,1/14/2016 5:23,deposit,3461.24,73778.05,5902
181,1/14/2016 6:14,withdrawal,3974.36,74109.6,9856
182,1/14/2016 9:38,payment,14.16,48051.29,7897
183,1/14/2016 10:26,deposit,3898.14,10286.56,4394
184,1/14/2016 12:06,withdrawal,907.45,39377.41,9185
185,1/14/2016 14:03,transfer,1754.9,43953.47,6361
186,1/14/2016 14:49,withdrawal,3036.73,39444.55,2861
187,1/14/2016 14:56,deposit,1224.7,89468.7,2887
188,1/14/2016 17:11,deposit,2243.6,51743.91,7173
189,1/14/2016 18:23,withdrawal,2403.45,1449.9,1510
190,1/14/2016 18:25,withdrawal,3287.64,72600.18,4007
191,1/14/2016 19:06,transfer,693.11,98505.16,8626
192,1/14/2016 19:12,transfer,2513.68,52193.57,7570
193,1/14/2016 20:28,payment,2292.88,44600.36,6583
194,1/14/2016 20:59,deposit,4541.04,12464.67,3592
195,1/14/2016 21:43,withdrawal,4571.9,71429.45,5028
196,1/14/2016 21:56,payment,3816.47,65610.22,5185
197,1/14/2016 23:09,withdrawal,2047.31,73263.12,6265
198,1/14/2016 23:32,transfer,1960.16,21472.97,4624
199,1/15/2016 1:43,payment,4145.93,69778.27,4550
200,1/15/2016 1:48,transfer,2511.69,67823.71,3953
201,1/15/2016 5:16,transfer,3573.77,74508.51,4264
202,1/15/2016 10:57,payment,4399.4,42988.3,4130
203,1/15/2016 11:25,withdrawal,4638.54,33258.31,8875
204,1/15/2016 12:07,payment,498.4,6663.11,9359
205,1/15/2016 15:00,deposit,3579.97,46817.68,9312
206,1/15/2016 17:58,withdrawal,3008.17,89341.96,7024
207,1/15/2016 19:24,deposit,1923.25,78546.3,2323
208,1/15/2016 19:24,payment,4381.48,66845.23,4029
209,1/15/2016 20:16,withdrawal,71974.80025,46160.1,8909
210,1/15/2016 21:55,payment,1110.8,74480.85,2125
211,1/15/2016 22:37,withdrawal,3713.46,82592.51,2927
212,1/15/2016 23:22,transfer,1062.22,90705.8,9657
213,1/16/2016 0:12,deposit,1845.48,4324.5,9017
214,1/16/2016 4:15,payment,2669.07,9211.47,4215
215,1/16/2016 4:59,deposit,4546.2,38077.27,7627
216,1/16/2016 6:16,transfer,640.21,43961.71,8167
217,1/16/2016 6:26,deposit,1845.72,22214.49,6727
218,1/16/2016 10:18,deposit,4437.93,8975.07,9372
219,1/16/2016 12:43,withdrawal,4996.68,28691.9,4587
220,1/16/2016 16:20,payment,2045.6,5503.52,2039
221,1/17/2016 0:46,transfer,873.02,51028.55,7589
222,1/17/2016 1:10,transfer,4065.62,43970.6,9153
223,1/17/2016 3:04,transfer,4188.47,56458.09,1496
224,1/17/2016 7:08,deposit,1469.92,96387.23,1857
225,1/17/2016 10:59,payment,3831.67,54175.7,8324
226,1/17/2016 12:17,transfer,3748.38,14466.77,5887
227,1/17/2016 14:36,transfer,3118.2,13692.72,7549
228,1/17/2016 16:23,deposit,4839.28,6140.05,1527
229,1/17/2016 21:34,payment,1024.9,59003.51,3045
230,1/17/2016 21:46,withdrawal,3422.39,53452.71,1882
231,1/17/2016 21:57,payment,4086.48,34049.08,3370
232,1/18/2016 3:44,payment,591.87,46912.03,9773
233,1/18/2016 5:02,withdrawal,1762.8,48114.62,8913
234,1/18/2016 6:23,withdrawal,146.82,13524.28,2527
235,1/18/2016 7:55,transfer,1878.12,4067.81,3016
236,1/18/2016 12:22,payment,3118.3,13784.57,7001
237,1/18/2016 15:20,withdrawal,4359.7,67986.72,9230
238,1/18/2016 15:30,deposit,2521.81,2393.95,8190
239,1/18/2016 15:53,transfer,3379.88,86210.75,5433
240,1/18/2016 16:27,deposit,4025.28,4447.05,3548
241,1/18/2016 17:21,deposit,1784.32,8820.63,8533
242,1/18/2016 19:02,deposit,2191.09,97250.56,8098
243,1/18/2016 20:03,transfer,1475.12,47429.65,1871
244,1/18/2016 20:09,payment,1662.8,86561.8,6254
245,1/18/2016 21:54,deposit,4942.73,5758.47,6571
246,1/18/2016 21:59,transfer,4450.6,93972.99,7800
247,1/18/2016 22:04,withdrawal,3621.3,92722.08,3033
248,1/18/2016 23:28,payment,1338.7,4159.61,1681
249,1/19/2016 0:55,deposit,2326.57,83641.25,6757
250,1/19/2016 1:07,payment,3806.3,99138.28,1393
251,1/19/2016 1:36,withdrawal,1690.72,38296.42,7698
252,1/19/2016 1:39,transfer,1518.25,23023.59,6610
253,1/19/2016 8:18,transfer,4349.61,57334.4,7561
254,1/19/2016 12:54,withdrawal,3208.74,89842.6,5562
255,1/19/2016 13:23,deposit,3179.92,64645.63,8380
256,1/19/2016 17:40,withdrawal,4282.01,48115.17,1111
257,1/19/2016 19:20,transfer,3170.55,83251.1,3956
258,1/19/2016 20:11,transfer,3930.34,86365.14,5081
259,1/20/2016 0:52,deposit,3830.81,47088.88,7129
260,1/20/2016 1:14,payment,1467.18,83805.39,6874
261,1/20/2016 4:09,payment,4720.79,29712.62,2361
262,1/20/2016 9:03,transfer,3512.05,96869.77,6982
263,1/20/2016 11:29,payment,406.83,29695.89,5914
264,1/20/2016 16:55,withdrawal,1371,62759.14,3315
265,1/20/2016 17:18,transfer,1120.44,58002.73,7797
266,1/20/2016 17:51,transfer,1277.89,66853.17,7615
267,1/20/2016 20:55,transfer,1863.51,84752.7,3796
268,1/21/2016 2:40,transfer,1050.07,13844,9398
269,1/21/2016 3:44,payment,3165.9,68350.67,8268
270,1/21/2016 5:22,withdrawal,2412.32,18885.38,7078
271,1/21/2016 5:51,payment,4808.93,62151.61,9768
272,1/21/2016 6:26,payment,2208.23,44624.55,1153
273,1/21/2016 9:54,deposit,1268.09,55906.62,1423
274,1/21/2016 11:54,transfer,3929.57,41556.43,7418
275,1/21/2016 14:14,deposit,1692.5,43439.62,8469
276,1/21/2016 14:19,withdrawal,1560.55,43900.04,2766
277,1/21/2016 18:05,withdrawal,4242.28,45412.1,6680
278,1/21/2016 19:16,withdrawal,2094.21,37143.81,2760
279,1/21/2016 21:40,transfer,4900.52,64050.21,5015
280,1/21/2016 23:42,payment,1791.07,8019.23,9316
281,1/22/2016 0:15,payment,529.79,30048.87,1665
282,1/22/2016 0:33,deposit,3744.73,95315.26,8876
283,1/22/2016 1:30,transfer,82.31,12795.92,4500
284,1/22/2016 3:55,payment,1108.28,84032.76,2813
285,1/22/2016 7:08,deposit,1707.22,7068.81,4457
286,1/22/2016 10:13,transfer,4409.93,26860.5,6070
287,1/22/2016 11:31,deposit,180.91,26072.7,2003
288,1/22/2016 12:30,payment,1358.72,53164.46,1782
289,1/22/2016 13:15,deposit,738.11,32100.62,9568
290,1/22/2016 15:24,withdrawal,10.36,68252.3,2555
291,1/22/2016 19:01,payment,2279.89,72441.92,7530
292,1/22/2016 19:28,transfer,3185.08,50944.97,3110
293,1/23/2016 1:47,transfer,88.93,61996.24,3033
294,1/23/2016 3:09,transfer,1488.81,55860.66,9241
295,1/23/2016 3:59,payment,2832.05,45636.77,5882
296,1/23/2016 4:50,deposit,3774.38,84662.71,5775
297,1/23/2016 4:54,payment,692.83,49061.7,8155
298,1/23/2016 8:55,payment,2131.07,11419.22,1558
299,1/23/2016 9:17,transfer,2941.85,74546.2,5875
300,1/23/2016 10:46,withdrawal,4840.82,6380.81,3759
301,1/23/2016 11:15,payment,444.1,23481.5,4704
302,1/23/2016 13:10,withdrawal,797.8,8060.34,9507
303,1/23/2016 14:14,deposit,1434.95,89307.02,6629
304,1/23/2016 15:39,deposit,1823.14,45869.55,2567
305,1/23/2016 20:37,withdrawal,2247.61,52294.47,6428
306,1/23/2016 21:33,payment,118.49,84212.84,6191
307,1/23/2016 23:21,deposit,130.31,83260.81,4784
308,1/24/2016 0:23,deposit,2817.25,89341.63,3019
309,1/24/2016 0:24,transfer,1583.19,47057.46,1657
310,1/24/2016 1:43,payment,4665.54,72435.11,1693
311,1/24/2016 2:18,transfer,1060.7,1295.07,4267
312,1/24/2016 2:28,payment,2949.27,70851.91,2776
313,1/24/2016 2:44,deposit,563.93,64532.55,5654
314,1/24/2016 3:08,transfer,4946.27,60871.76,2601
315,1/24/2016 11:26,transfer,3471.06,68268.94,3347
316,1/24/2016 15:21,payment,2768.07,36456.73,1955
317,1/24/2016 21:20,transfer,746.72,23964.19,1796
318,1/24/2016 22:48,deposit,1730.74,56161.44,3956
319,1/25/2016 0:23,withdrawal,3569.5,22230.94,1139
320,1/25/2016 5:43,transfer,4674.18,92329.92,9941
321,1/25/2016 8:12,payment,444.08,89150.65,6151
322,1/25/2016 9:23,transfer,4839.16,75309.39,3228
323,1/25/2016 10:49,withdrawal,3646.67,5512.82,9721
324,1/25/2016 13:10,payment,934.85,75413.15,2301
325,1/25/2016 14:45,transfer,3228.98,91144.98,5663
326,1/25/2016 16:54,transfer,2996.87,16955.86,6653
327,1/25/2016 17:51,payment,625.72,82892.28,9805
328,1/25/2016 21:18,deposit,4537.5,61398.62,1546
329,1/25/2016 22:32,deposit,4393.33,99738.14,2362
330,1/25/2016 22:41,payment,3632.89,59266.44,5612
331,1/26/2016 5:15,payment,3198.68,89266.57,9373
332,1/26/2016 7:40,deposit,1679.94,76121.07,6651
333,1/26/2016 8:09,transfer,4342.46,17680.88,5435
334,1/26/2016 8:29,deposit,1527.88,25281.48,7706
335,1/26/2016 11:00,withdrawal,583.2,28405.09,1106
336,1/26/2016 12:31,withdrawal,3434.75,34585.62,9195
337,1/26/2016 13:40,payment,2243.26,81332.37,3112
338,1/26/2016 17:45,withdrawal,2188.55,27408.94,1785
339,1/26/2016 17:50,withdrawal,1157.67,68427.09,9260
340,1/26/2016 18:02,transfer,3654,48586.76,7997
341,1/26/2016 22:04,payment,3076.63,81339.56,7414
342,1/26/2016 23:16,transfer,455.64,30734.2,8071
343,1/27/2016 1:27,deposit,4029.83,83267.4,3894
344,1/27/2016 1:50,transfer,4408.19,78746.13,7464
345,1/27/2016 1:52,payment,3714.8,78465.69,1645
346,1/27/2016 2:15,transfer,628.31,52086.58,8772
347,1/27/2016 2:20,payment,3159.44,2049.55,2557
348,1/27/2016 3:56,payment,4313.51,23376.84,7158
349,1/27/2016 5:38,deposit,2504.22,95301.48,4488
350,1/27/2016 11:21,payment,960.42,36926.36,5983
351,1/27/2016 11:33,transfer,1013.2,58351.13,9221
352,1/27/2016 14:30,payment,2101.29,50966.56,8424
353,1/27/2016 16:19,transfer,4911.31,51695.08,3216
354,1/27/2016 18:19,payment,590.18,99147.94,6777
355,1/27/2016 22:43,payment,136.51,47147.48,7347
356,1/27/2016 23:38,deposit,3478.96,83889.33,3476
357,1/28/2016 0:05,payment,803.61,21957.4,2260
358,1/28/2016 1:56,payment,3297.62,71479.78,8246
359,1/28/2016 4:22,payment,3827.39,17098.32,7656
360,1/28/2016 6:38,payment,4833.42,41419.73,7595
361,1/28/2016 15:10,payment,4842.13,54786.47,9986
362,1/28/2016 19:40,transfer,4847.95,37910.19,5741
363,1/28/2016 22:14,payment,1944,49280.53,6820
364,1/29/2016 3:11,deposit,3674.6,61013.07,6881
365,1/29/2016 4:25,withdrawal,1919.81,65662.72,8520
366,1/29/2016 4:41,transfer,2094.06,99911,1172
367,1/29/2016 10:24,withdrawal,3442.3,20515.68,9665
368,1/29/2016 11:13,deposit,2086.79,67067.82,5185
369,1/29/2016 17:23,deposit,3479.8,81830.5,1049
370,1/29/2016 19:05,deposit,3239.13,7922.89,7015
371,1/29/2016 19:15,deposit,4014.25,27037.05,9008
372,1/29/2016 23:54,transfer,3588.74,52246.57,8927
373,1/30/2016 0:06,transfer,2903.36,99214.94,3146
374,1/30/2016 6:42,transfer,133882.8351,69855.52,4068
375,1/30/2016 9:48,payment,208.45,30054.35,1618
376,1/30/2016 16:02,deposit,4879.38,72856.96,8724
377,1/30/2016 16:18,withdrawal,2321.87,75266.58,8763
378,1/30/2016 19:55,transfer,3385.15,84048.58,6225
379,1/30/2016 20:21,deposit,3848.23,44786.37,8630
380,1/30/2016 20:31,transfer,146.93,22432.42,5919
381,1/30/2016 21:18,deposit,3967.89,58619.04,3445
382,1/30/2016 21:59,withdrawal,2532.48,83398.9,7081
383,1/31/2016 2:05,deposit,2443.32,16954.37,3660
384,1/31/2016 3:49,deposit,4527.24,63925.57,2930
385,1/31/2016 5:25,withdrawal,1850.62,76512.5,3198
386,1/31/2016 8:13,payment,2135.53,30858.19,2453
387,1/31/2016 8:28,transfer,3266.58,31818.09,1787
388,1/31/2016 8:46,deposit,4379.55,23807.01,4270
389,1/31/2016 9:25,withdrawal,1976.34,1155.86,8809
390,1/31/2016 11:19,deposit,4923.29,96717.83,2631
391,1/31/2016 15:02,payment,2922.1,73461.7,5180
392,1/31/2016 15:32,deposit,2832.65,10811.37,6918
393,1/31/2016 17:08,deposit,1413.2,30739.83,8717
394,1/31/2016 20:35,transfer,4088.36,74885.52,8680
395,2/1/2016 0:16,transfer,770.33,51317.67,3858
396,2/1/2016 2:32,payment,856.26,83748.12,9161
397,2/1/2016 3:07,transfer,3725.44,38074.02,7396
398,2/1/2016 3:19,transfer,557.46,52132.38,1296
399,2/1/2016 4:42,deposit,1404.48,40535.38,7998
400,2/1/2016 4:46,payment,2140.48,20153.79,5907
401,2/1/2016 6:44,deposit,915.28,68519.34,1237
402,2/1/2016 7:41,withdrawal,3772.94,39164.6,9785
403,2/1/2016 8:52,payment,3717.44,27327.91,6148
404,2/1/2016 13:08,deposit,2993.4,32070.22,7997
405,2/1/2016 13:26,deposit,2135.08,71998.66,2826
406,2/1/2016 14:23,payment,1001.55,92779.04,2887
407,2/1/2016 14:31,deposit,3171.51,14326.29,5104
408,2/1/2016 19:57,payment,3546.77,80411.68,3584
409,2/2/2016 3:48,transfer,2261.02,87136.5,3441
410,2/2/2016 8:47,deposit,955.65,63702.35,8299
411,2/2/2016 12:10,withdrawal,3237.95,83447.21,1379
412,2/2/2016 13:16,payment,4721.99,59058.31,7720
413,2/2/2016 14:32,deposit,1460.95,91818.83,7457
414,2/2/2016 15:55,transfer,791.59,25328.66,8669
415,2/2/2016 16:25,deposit,800.24,82191.12,6113
416,2/2/2016 17:43,deposit,4914.75,32822.27,2438
417,2/2/2016 23:06,withdrawal,3268.84,4213.72,3323
418,2/2/2016 23:10,deposit,2616.7,54811.45,4739
419,2/3/2016 0:30,transfer,4859.97,99812.98,6150
420,2/3/2016 3:50,transfer,1731.19,82236.97,3361
421,2/3/2016 4:44,deposit,3641.22,30594.64,3354
422,2/3/2016 9:59,transfer,1768.39,72462.62,2339
423,2/3/2016 10:40,transfer,1670.59,4734.7,8551
424,2/3/2016 11:00,deposit,4566.61,42071.48,4859
425,2/3/2016 11:19,deposit,3566.71,2936.36,6207
426,2/3/2016 15:59,deposit,501.47,87362.98,5405
427,2/3/2016 16:33,withdrawal,3660.18,33940.08,2511
428,2/3/2016 16:52,payment,4092.05,35900.82,2100
429,2/3/2016 19:05,transfer,1316.89,74096.35,2268
430,2/3/2016 20:47,withdrawal,228.28,73788.43,4548
431,2/4/2016 4:35,withdrawal,4596.11,61940.65,3034
432,2/4/2016 9:31,payment,1620.02,5831.1,6406
433,2/4/2016 12:18,deposit,2049.79,58998.74,5162
434,2/4/2016 14:14,deposit,558.85,54668.91,1790
435,2/4/2016 14:17,withdrawal,1777.06,76574.04,1475
436,2/4/2016 17:00,withdrawal,2068.29,92805.42,3012
437,2/4/2016 17:11,deposit,1037.21,5156,3575
438,2/4/2016 19:37,deposit,1663.94,3537.89,8491
439,2/4/2016 21:35,payment,1090.67,44251.25,6420
440,2/4/2016 22:30,transfer,1893.24,76767,9762
441,2/5/2016 0:35,payment,2091.9,96235.63,2731
442,2/5/2016 3:10,withdrawal,27.73,24441.69,7924
443,2/5/2016 4:56,payment,1671.19,38267.62,9908
444,2/5/2016 8:27,transfer,2527.27,7503.56,3617
445,2/5/2016 10:32,transfer,1084.48,73008.85,1605
446,2/5/2016 11:50,transfer,61.77,11107.49,2703
447,2/5/2016 12:44,payment,4096.91,52881.72,7884
448,2/5/2016 15:02,withdrawal,761.86,14670.75,2193
449,2/5/2016 18:13,deposit,2810.25,96914.78,8424
450,2/5/2016 22:54,withdrawal,3994.45,99028.19,1523
451,2/6/2016 2:02,withdrawal,958.42,20098.09,3625
452,2/6/2016 4:37,withdrawal,2736.64,47273.28,9704
453,2/6/2016 5:43,deposit,4085.03,78835.71,5072
454,2/6/2016 20:45,payment,2072.73,87697.9,7841
455,2/6/2016 20:54,payment,4238.24,98822.99,1130
456,2/6/2016 21:58,deposit,981.98,41989.02,6681
457,2/7/2016 0:44,transfer,3387.51,56514.36,7347
458,2/7/2016 2:07,transfer,3136.66,76978.85,8533
459,2/7/2016 2:11,deposit,2590.56,47716.1,4828
460,2/7/2016 5:07,transfer,1936.73,59020.47,6599
461,2/7/2016 8:37,deposit,4511.07,21372.28,5909
462,2/7/2016 8:45,payment,2292.16,94718.06,6113
463,2/7/2016 12:04,deposit,1335.87,34133.99,9032
464,2/7/2016 15:31,withdrawal,3030.56,15308.98,1054
